"score","detection","wrong_detection","retained_clean","retained_bad","retained_bad_fraction","mean_p_clean","mean_p_bad","spec"
"avg",0.933997189323841,0.0834086687041976,64.05,2,0.0302614873972846,0.508805792745737,0.0448525433641309,"CC"
"avg_raw",0.933997189323841,0.0834086687041976,64.05,2,0.0302614873972846,0.508805792745737,0.0448525433641309,"CC"
"avg_source",0.464970812162334,0,69.885,16.31,0.188485940406205,0.791840389092019,0.185213422544379,"CC"
"avg_unweighted",0.937552054679932,0.0918973084437304,63.45,1.89,0.0289091988473995,0.506178343079444,0.0418534490556715,"CC"
"c1",0.116925585695986,0.0872313144026904,63.8,26.6,0.294298358050054,0.508329938265351,0.481080993286388,"CC"
"final",0.851459064629503,0.0871582322310885,63.8,4.45,0.0647886255454281,0.503255492646742,0.0745944056712464,"CC"
"max",0.906916415094431,0.0889539051974658,63.66,2.83,0.0422965495132699,0.505689646624475,0.0547850774593004,"CC"
"max_source",0.324645103955926,6.25e-05,69.88,20.555,0.226537679302613,0.944587353356032,0.303962795381791,"CC"
"quad",0.932707124327762,0.083259306819782,64.055,2.045,0.0309891440744897,0.509010636236526,0.0463907133106109,"CC"
"quad_ar1",0.920947625889652,0.08703429618548,63.775,2.405,0.036177442441311,0.50679417532134,0.0513793533248226,"CC"
"quad_cs",0.860694020083585,0.089519702650484,63.625,4.2,0.0615095724787135,0.508411988621773,0.0705519521641028,"CC"
"quad_shrink",0.891401729683214,0.085444043807865,63.91,3.27,0.0483100423719859,0.50526723500365,0.0611140318685596,"CC"
"quad_source",0.209093359092977,0.0490038057590776,66.46,23.95,0.264291404245451,0.578350099910973,0.345168834448057,"CC"
