"spec","method","n_rep","mean","bias","empirical_sd","variance","mse","rmse","bias_squared","mean_boot_se","se_sd_ratio","coverage","type1","power","mean_ci_length"
"CC","rct_final",50,0.63311590502336,-0.0668840949766404,0.280565440467854,0.0787169663849207,0.0816161092180666,0.285685332521756,0.00447348216084425,0.332658268840285,1.18567086625339,0.94,0.06,0.5,1.26797824648799
"CC","rct_long",50,0.654521269997383,-0.0454787300026165,0.269479657870607,0.0726192860060592,0.0732352151685889,0.270620056848322,0.00206831488265089,0.320588540443257,1.18965766461374,0.98,0.02,0.58,1.21730000336968
"CC","full",50,1.23171742382507,0.531717423825067,0.291785148870264,0.0851385731012423,0.366159220438383,0.60511091581493,0.282723418799166,0.29856938051812,1.02325077775248,0.58,0.42,0.98,1.13757907761799
"CC","oracle",50,0.66946707784259,-0.0305329221574099,0.24829142270087,0.0616486305868222,0.0613479173105562,0.247685117256884,0.000932259335470451,0.266156280510044,1.07195116776425,0.96,0.04,0.76,1.02467263941294
"CC","avg",50,0.697810211659641,-0.00218978834035899,0.266141095242225,0.070831082576731,0.0694192560981719,0.263475342486108,4.79517297557218e-06,0.282770039712766,1.06248168647314,0.96,0.04,0.7,1.08504112809642
"MC","rct_final",50,0.643605514795009,-0.0563944852049909,0.294521061646974,0.0867426557536604,0.0881881406001231,0.296964881088864,0.00318033796153594,0.332994716135853,1.13063125018541,0.94,0.06,0.54,1.29063556081411
"MC","rct_long",50,0.637342393714742,-0.0626576062852582,0.293702808096186,0.0862613394835852,0.0884620883193119,0.297425769427116,0.00392597562539843,0.32456820633956,1.10509057929492,0.94,0.06,0.56,1.23606056853397
"MC","full",50,1.24132495764251,0.541324957642514,0.290469810107669,0.0843727105839855,0.375717966138975,0.612958372272518,0.293032709766669,0.306240024427752,1.05429209429454,0.62,0.38,0.96,1.17558182348614
"MC","oracle",50,0.683231547198904,-0.0167684528010964,0.257243223439213,0.066174076005397,0.0651317754946317,0.255209277838075,0.000281181009342598,0.271185348183231,1.05419821971447,0.96,0.04,0.8,1.03645219653825
"MC","avg",50,0.723534983958356,0.0235349839583561,0.275837794300875,0.0760864887647721,0.0751186544593967,0.274077825552154,0.000553895469920078,0.287892101219987,1.0437007080544,0.94,0.06,0.78,1.09434060839514
"CM","rct_final",50,0.73310233386549,0.0331023338654896,0.332732445870603,0.110710880535034,0.109592427431676,0.331047470057809,0.00109576450734234,0.33227289626309,0.998618861450945,0.92,0.08,0.7,1.27431647978011
"CM","rct_long",50,0.750890743586306,0.050890743586306,0.316684819581115,0.100289274953123,0.100873357236828,0.317605663105726,0.00258986778276714,0.322409574276106,1.0180771364493,0.96,0.04,0.66,1.23692634756899
"CM","full",50,1.36495385755881,0.664953857558811,0.263874832463639,0.0696299272077133,0.510400961345903,0.714423516792318,0.442163632682344,0.297435014791322,1.12718220231294,0.4,0.6,1,1.13854250676405
"CM","oracle",50,0.760970186356974,0.060970186356974,0.256761236187743,0.065926332408658,0.0683251693848889,0.261390836459293,0.00371736362440414,0.262909505390672,1.0239454728222,0.92,0.08,0.82,1.00265765789384
"CM","avg",50,0.77865810083777,0.07865810083777,0.27026044657325,0.0730407089819726,0.0777669916297379,0.27886733697179,0.0061870968274048,0.279319942231393,1.03352135235848,0.94,0.06,0.84,1.0629033404538
"MM","rct_final",50,0.719468906443353,0.0194689064433535,0.343386839249456,0.117914521369731,0.115935269260437,0.340492686060122,0.000379038318100053,0.346471358269526,1.00898263610455,0.98,0.02,0.48,1.32845904466258
"MM","rct_long",50,0.721321239949321,0.0213212399493207,0.344192056283138,0.118468171608415,0.116553403449223,0.341399184898299,0.000454595272976508,0.336784536562185,0.978478527944703,0.96,0.04,0.5,1.29744226719981
"MM","full",50,1.36475844941121,0.66475844941121,0.307666023123123,0.0946583817843983,0.534669010212307,0.7312106469495,0.441903796063597,0.312225718964824,1.01482027750551,0.54,0.46,1,1.20477656073483
"MM","oracle",50,0.76897542352434,0.0689754235243401,0.235324991910348,0.0553778518176053,0.0590279038316152,0.242956588368406,0.00475760905036208,0.27832771644193,1.18273760123177,0.98,0.02,0.8,1.07043589407342
"MM","avg",50,0.784357946491362,0.0843579464913621,0.25196374302938,0.0634857278013752,0.0693322763815872,0.2633102284029,0.00711626313623951,0.29400746493796,1.16686417419858,0.98,0.02,0.76,1.13207131900974
