"spec","parameter","truth","mean","bias","rmse","sd"
"CC","beta_(Intercept)",0,0.0691436650292344,0.0691436650292344,0.487730640771306,0.487706347258928
"CC","beta_Y0",-0.5,-0.506065756475915,-0.00606575647591545,0.0879286803234386,0.0886097809925478
"CC","beta_X1",1.2,1.21683671422262,0.0168367142226213,0.305301731442429,0.307931996660426
"CC","beta_X2",-0.3,-0.285374278863888,0.0146257211361121,0.3874059916206,0.391060163731807
"CC","beta_B1",0.4,0.333672246289331,-0.0663277537106687,0.583905321996302,0.586015649076501
"CC","beta_B2",0.3,0.284864641851629,-0.0151353581483713,0.403353599771078,0.407161713074652
"CC","beta_B3",0.25,0.164475870734686,-0.0855241292653136,0.422057654318406,0.417497753729953
"CC","beta_B4",0.35,0.429666086312995,0.0796660863129952,0.367487487739136,0.362390544117401
"CC","beta_time",0.05,0.0494186522308346,-0.000581347769165394,0.0153099033198372,0.0154541842439835
"CC","sigma2",4,3.94612680187441,-0.05387319812559,0.303105937602817,0.301308181668896
"CC","rho",0.3,0.287906289613119,-0.0120937103868807,0.0477252683287444,0.0466362761286957
"CC","outcome_fallback",NA,0,NA,NA,0
"CC","source_converged",NA,1,NA,NA,0
"CC","screen_fallback",NA,0,NA,NA,0
"MC","beta_(Intercept)",0,0.158087445547192,0.158087445547192,0.500576028233896,0.479779625860246
"MC","beta_Y0",-0.5,-0.477895112768534,0.0221048872314656,0.0897151082188059,0.0878320208170829
"MC","beta_X2",-0.3,0.545533489007378,0.845533489007378,0.91012471377481,0.340168196078281
"MC","beta_B1",0.4,0.351521875118976,-0.0484781248810244,0.545695408976108,0.549056101725926
"MC","beta_B2",0.3,0.412091158278928,0.112091158278928,0.563794360980232,0.558148957614836
"MC","beta_B3",0.25,0.23435222599113,-0.01564777400887,0.574155589901132,0.579769296642968
"MC","beta_B4",0.35,0.314802739329708,-0.0351972606702916,0.404699693040652,0.407259374791567
"MC","beta_time",0.05,0.0507020705339486,0.000702070533948551,0.0177484186383131,0.0179145779517683
"MC","sigma2",4,4.38827097164771,0.388270971647707,0.547318628415527,0.389666699003973
"MC","rho",0.3,0.355742109667942,0.0557421096679418,0.0794949551608504,0.0572522622830157
"MC","outcome_fallback",NA,0,NA,NA,0
"MC","source_converged",NA,1,NA,NA,0
"MC","screen_fallback",NA,0,NA,NA,0
"CM","beta_(Intercept)",0,0.0407279821630116,0.0407279821630116,0.38485225676691,0.386576405584466
"CM","beta_Y0",-0.5,-0.501321391477816,-0.00132139147781574,0.0764458642531723,0.0772104471490479
"CM","beta_X1",1.2,1.28246848629901,0.0824684862990093,0.408687741131177,0.404344542058255
"CM","beta_X2",-0.3,-0.317289428181365,-0.017289428181365,0.381768902575952,0.385249151619679
"CM","beta_B1",0.4,0.340743535189917,-0.0592564648100834,0.432689854577072,0.432964604331836
"CM","beta_B2",0.3,0.266248582332124,-0.0337514176678755,0.467066991037839,0.470575435756367
"CM","beta_B3",0.25,0.240200594504492,-0.00979940549550837,0.442326861295813,0.446707939874224
"CM","beta_B4",0.35,0.326123229392796,-0.0238767706072038,0.396330092264078,0.399626664882521
"CM","beta_time",0.05,0.0492156815882899,-0.00078431841171013,0.0175433984919216,0.0177037893809291
"CM","sigma2",4,4.05750456971228,0.057504569712278,0.342495719575128,0.341061581592322
"CM","rho",0.3,0.307045766104406,0.00704576610440583,0.0441887701612416,0.0440663297393716
"CM","outcome_fallback",NA,0,NA,NA,0
"CM","source_converged",NA,1,NA,NA,0
"CM","screen_fallback",NA,0,NA,NA,0
"MM","beta_(Intercept)",0,0.145229860834134,0.145229860834134,0.440547038942423,0.420143295578334
"MM","beta_Y0",-0.5,-0.462044718709168,0.0379552812908315,0.100291321489916,0.0937742936595876
"MM","beta_X2",-0.3,0.520841097291551,0.820841097291551,0.861617654000555,0.264584531229515
"MM","beta_B1",0.4,0.396380879896131,-0.00361912010386944,0.526859640662965,0.532196050006032
"MM","beta_B2",0.3,0.249074509291892,-0.0509254907081076,0.537756775014182,0.540775089494842
"MM","beta_B3",0.25,0.207402583828835,-0.0425974161711652,0.55277528850524,0.556726932402995
"MM","beta_B4",0.35,0.489420794237447,0.139420794237447,0.512375877581688,0.498048110598996
"MM","beta_time",0.05,0.0471557040467983,-0.00284429595320175,0.0178633355458697,0.0178144844001674
"MM","sigma2",4,4.33719529524942,0.337195295249421,0.460478722918356,0.316775828678379
"MM","rho",0.3,0.355108516137731,0.0551085161377307,0.0717500840052026,0.0464134701138724
"MM","outcome_fallback",NA,0,NA,NA,0
"MM","source_converged",NA,1,NA,NA,0
"MM","screen_fallback",NA,0,NA,NA,0
