"score","detection","wrong_detection","retained_clean","retained_bad","retained_bad_fraction","mean_p_clean","mean_p_bad","spec"
"avg",0.935079517011246,0.0961764478360605,63.78,1.94,0.0294127113720482,0.50086668958011,0.0429880203013785,"CC"
"max",0.900965825115283,0.100801376513993,63.48,2.96,0.0446942591513043,0.503019539004964,0.0549055946635796,"CC"
"quad",0.935242345819237,0.099954325161642,63.52,1.92,0.0296163576253571,0.503456129150359,0.0451932522560903,"CC"
"avg",0.906009830244272,0.0875605789599913,64.44,2.72,0.0400985489819762,0.502944517927493,0.0517628583461782,"MC"
"max",0.87518425461409,0.0894831568466104,64.32,3.62,0.0527546011359429,0.505984904865342,0.0648872030231544,"MC"
"quad",0.901803390697019,0.0811739774322524,64.88,2.82,0.0412127250744868,0.509020514335553,0.0543728577445345,"MC"
"avg",0.91674256248923,0.0723649966091833,64.8,2.54,0.0376103027161423,0.512192336181994,0.0521920480171406,"CM"
"max",0.886169074955134,0.0828206220518028,64.06,3.44,0.0499448895280451,0.512276437327518,0.0617557566346084,"CM"
"quad",0.914698097467584,0.0759937147576253,64.56,2.58,0.0382168499803129,0.511970090413105,0.0518942330949843,"CM"
"avg",0.917592676440507,0.0858942786433546,64.54,2.42,0.0359834754135469,0.49910777276023,0.0493633931734085,"MM"
"max",0.892733130277839,0.0806676934078967,64.86,3.14,0.0457761145595922,0.504421656698852,0.0570701061078696,"MM"
"quad",0.91868798355977,0.0856704465075248,64.56,2.4,0.035983932273764,0.500811803589391,0.0484635589125043,"MM"
