"score","detection","wrong_detection","retained_clean","retained_bad","retained_bad_fraction","mean_p_clean","mean_p_bad","spec"
"avg",0.910714285714286,0.138888888888889,62,2.5,0.0357142857142857,0.437980791713932,0.0422160085823365,"CC"
"avg_raw",0.910714285714286,0.138888888888889,62,2.5,0.0357142857142857,0.437980791713932,0.0422160085823365,"CC"
"avg_source",0.446428571428571,0,72,15.5,0.176900966814737,0.734232124788619,0.182486918848773,"CC"
"avg_unweighted",0.910714285714286,0.131944444444444,62.5,2.5,0.0352112676056338,0.429644808743169,0.0368852459016393,"CC"
"c1",0.107142857142857,0.0347222222222222,69.5,25,0.264521193092622,0.572116944968715,0.490198095151537,"CC"
"final",0.857142857142857,0.159722222222222,60.5,4,0.0621394230769231,0.449139887830674,0.0570547224347782,"CC"
"max",0.875,0.104166666666667,64.5,3.5,0.0518061864590093,0.436557845661898,0.0599828081598251,"CC"
"max_source",0.214285714285714,0,72,22,0.234042553191489,0.899541098064809,0.335775437640617,"CC"
"quad",0.928571428571429,0.111111111111111,64,2,0.0285714285714286,0.43222113056072,0.0433584861145291,"CC"
"quad_ar1",0.928571428571429,0.0902777777777778,65.5,2,0.028169014084507,0.429185894646167,0.049913398765752,"CC"
"quad_cs",0.892857142857143,0.0972222222222222,65,3,0.0443434998918451,0.440870215952636,0.079351136653034,"CC"
"quad_shrink",0.928571428571429,0.166666666666667,60,2,0.03125,0.396444946997359,0.0529736013758376,"CC"
"quad_source",0.178571428571429,0.0208333333333333,70.5,23,0.24599633951041,0.560468437764758,0.396636787006161,"CC"
